! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:57:03
! Stimulus(Гц),    S21(°)
2.85204702351E+09,-3.97253670664E+00
2.85248424212E+09,-4.24753799465E+00
2.85292146073E+09,-4.41762869390E+00
2.85335867934E+09,-4.63928429621E+00
2.85379589795E+09,-4.78758366803E+00
2.85423311656E+09,-4.94833499675E+00
2.85467033517E+09,-5.28467868312E+00
2.85510755378E+09,-5.31611463804E+00
2.85554477239E+09,-5.61025863460E+00
2.85598199100E+09,-5.89262298714E+00
2.85641920960E+09,-6.10119606040E+00
2.85685642821E+09,-6.23114748281E+00
2.85729364682E+09,-6.60787713395E+00
2.85773086543E+09,-6.60244373673E+00
2.85816808404E+09,-6.87238020597E+00
2.85860530265E+09,-7.05536674213E+00
2.85904252126E+09,-7.27018732974E+00
2.85947973987E+09,-7.45928431587E+00
2.85991695848E+09,-7.81868043352E+00
2.86035417709E+09,-7.91456642886E+00
2.86079139570E+09,-8.13968307726E+00
2.86122861431E+09,-8.48347971219E+00
2.86166583292E+09,-8.52346525653E+00
2.86210305153E+09,-8.78857377665E+00
2.86254027014E+09,-8.99044040303E+00
2.86297748874E+09,-9.09129365468E+00
2.86341470735E+09,-9.46172209222E+00
2.86385192596E+09,-9.75383276797E+00
2.86428914457E+09,-9.74352890894E+00
2.86472636318E+09,-1.00563199054E+01
2.86516358179E+09,-1.02542618227E+01
2.86560080040E+09,-1.04106786913E+01
2.86603801901E+09,-1.04924755444E+01
2.86647523762E+09,-1.08241028399E+01
2.86691245623E+09,-1.10509633858E+01
2.86734967484E+09,-1.11804876198E+01
2.86778689345E+09,-1.15264259152E+01
2.86822411206E+09,-1.18463466344E+01
2.86866133067E+09,-1.19404133160E+01
2.86909854927E+09,-1.21219702834E+01
2.86953576788E+09,-1.23946842630E+01
2.86997298649E+09,-1.23306747911E+01
2.87041020510E+09,-1.25080581197E+01
2.87084742371E+09,-1.28204896999E+01
2.87128464232E+09,-1.29918276875E+01
2.87172186093E+09,-1.33981502617E+01
2.87215907954E+09,-1.33205694429E+01
2.87259629815E+09,-1.36221293714E+01
2.87303351676E+09,-1.37763843398E+01
2.87347073537E+09,-1.37652738550E+01
2.87390795398E+09,-1.40380819298E+01
2.87434517259E+09,-1.41620280526E+01
2.87478239120E+09,-1.44477199660E+01
2.87521960980E+09,-1.45054769490E+01
2.87565682841E+09,-1.47531063785E+01
2.87609404702E+09,-1.48217095515E+01
2.87653126563E+09,-1.48768794119E+01
2.87696848424E+09,-1.51057695610E+01
2.87740570285E+09,-1.52020966926E+01
2.87784292146E+09,-1.53740438554E+01
2.87828014007E+09,-1.55533240349E+01
2.87871735868E+09,-1.57977136311E+01
2.87915457729E+09,-1.59059979238E+01
2.87959179590E+09,-1.59950810759E+01
2.88002901451E+09,-1.60667200100E+01
2.88046623312E+09,-1.61476910211E+01
2.88090345173E+09,-1.61023696894E+01
2.88134067034E+09,-1.64025122691E+01
2.88177788894E+09,-1.65241160079E+01
2.88221510755E+09,-1.64845416354E+01
2.88265232616E+09,-1.65916753230E+01
2.88308954477E+09,-1.68054053305E+01
2.88352676338E+09,-1.66576145313E+01
2.88396398199E+09,-1.67760441281E+01
2.88440120060E+09,-1.68886710320E+01
2.88483841921E+09,-1.68460547148E+01
2.88527563782E+09,-1.69942903259E+01
2.88571285643E+09,-1.72262615938E+01
2.88615007504E+09,-1.71174475660E+01
2.88658729365E+09,-1.72140176906E+01
2.88702451226E+09,-1.73214439810E+01
2.88746173087E+09,-1.72173798589E+01
2.88789894947E+09,-1.73493415600E+01
2.88833616808E+09,-1.75171093957E+01
2.88877338669E+09,-1.74248151251E+01
2.88921060530E+09,-1.75414467185E+01
2.88964782391E+09,-1.75841058389E+01
2.89008504252E+09,-1.74754237776E+01
2.89052226113E+09,-1.76177673448E+01
2.89095947974E+09,-1.76534752939E+01
2.89139669835E+09,-1.75204012239E+01
2.89183391696E+09,-1.76531369857E+01
2.89227113557E+09,-1.74659817082E+01
2.89270835418E+09,-1.75107966731E+01
2.89314557279E+09,-1.75588698493E+01
2.89358279140E+09,-1.77247206095E+01
2.89402001001E+09,-1.74864704538E+01
2.89445722861E+09,-1.75544110880E+01
2.89489444722E+09,-1.72413429868E+01
2.89533166583E+09,-1.75335709023E+01
2.89576888444E+09,-1.74129244057E+01
2.89620610305E+09,-1.74928299317E+01
2.89664332166E+09,-1.75462786698E+01
2.89708054027E+09,-1.72631619595E+01
2.89751775888E+09,-1.74398946913E+01
