! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:56:42
! Stimulus(Гц),    S21(дБ)
3.00857128564E+09,-3.96458279664E+01
3.00900850425E+09,-3.96257828588E+01
3.00944572286E+09,-3.96219579724E+01
3.00988294147E+09,-3.96263227633E+01
3.01032016008E+09,-3.96083906904E+01
3.01075737869E+09,-3.95965110156E+01
3.01119459730E+09,-3.95948724522E+01
3.01163181591E+09,-3.95951706510E+01
3.01206903452E+09,-3.95789154392E+01
3.01250625313E+09,-3.95518266430E+01
3.01294347174E+09,-3.95547851213E+01
3.01338069035E+09,-3.95538225924E+01
3.01381790895E+09,-3.95264293459E+01
3.01425512756E+09,-3.95205687987E+01
3.01469234617E+09,-3.95073006950E+01
3.01512956478E+09,-3.94916486574E+01
3.01556678339E+09,-3.94855501994E+01
3.01600400200E+09,-3.94641114425E+01
3.01644122061E+09,-3.94755688314E+01
3.01687843922E+09,-3.94459851471E+01
3.01731565783E+09,-3.94238247000E+01
3.01775287644E+09,-3.94307910393E+01
3.01819009505E+09,-3.93810323424E+01
3.01862731366E+09,-3.93992853587E+01
3.01906453227E+09,-3.93799027031E+01
3.01950175088E+09,-3.93639408312E+01
3.01993896948E+09,-3.93473598154E+01
3.02037618809E+09,-3.93290548955E+01
3.02081340670E+09,-3.93160335485E+01
3.02125062531E+09,-3.93000394897E+01
3.02168784392E+09,-3.92974737330E+01
3.02212506253E+09,-3.92742886748E+01
3.02256228114E+09,-3.92440859099E+01
3.02299949975E+09,-3.92273498647E+01
3.02343671836E+09,-3.92234498509E+01
3.02387393697E+09,-3.91929468807E+01
3.02431115558E+09,-3.91910701766E+01
3.02474837419E+09,-3.91548955446E+01
3.02518559280E+09,-3.91347542115E+01
3.02562281141E+09,-3.91122896299E+01
3.02606003002E+09,-3.91159774803E+01
3.02649724862E+09,-3.90996193932E+01
3.02693446723E+09,-3.90750206526E+01
3.02737168584E+09,-3.90418692223E+01
3.02780890445E+09,-3.90404462274E+01
3.02824612306E+09,-3.90218601450E+01
3.02868334167E+09,-3.90028312250E+01
3.02912056028E+09,-3.89816665232E+01
3.02955777889E+09,-3.89593792675E+01
3.02999499750E+09,-3.89492990261E+01
3.03043221611E+09,-3.89281137632E+01
3.03086943472E+09,-3.89119551805E+01
3.03130665333E+09,-3.88734077557E+01
3.03174387194E+09,-3.88667491220E+01
3.03218109055E+09,-3.88429257207E+01
3.03261830915E+09,-3.88273832704E+01
3.03305552776E+09,-3.88028983454E+01
3.03349274637E+09,-3.87678337048E+01
3.03392996498E+09,-3.87436302845E+01
3.03436718359E+09,-3.87429246291E+01
3.03480440220E+09,-3.87102789002E+01
3.03524162081E+09,-3.86995468074E+01
3.03567883942E+09,-3.86690457884E+01
3.03611605803E+09,-3.86440374531E+01
3.03655327664E+09,-3.86262008356E+01
3.03699049525E+09,-3.86026458504E+01
3.03742771386E+09,-3.85741051616E+01
3.03786493247E+09,-3.85517588469E+01
3.03830215108E+09,-3.85426049160E+01
3.03873936968E+09,-3.85134399759E+01
3.03917658829E+09,-3.84935342681E+01
3.03961380690E+09,-3.84692328371E+01
3.04005102551E+09,-3.84377767755E+01
3.04048824412E+09,-3.84003917097E+01
3.04092546273E+09,-3.83761651425E+01
3.04136268134E+09,-3.83521968163E+01
3.04179989995E+09,-3.83373297393E+01
3.04223711856E+09,-3.83131607175E+01
3.04267433717E+09,-3.82857046090E+01
3.04311155578E+09,-3.82572280812E+01
3.04354877439E+09,-3.82169216017E+01
3.04398599300E+09,-3.82191525124E+01
3.04442321161E+09,-3.81667300860E+01
3.04486043022E+09,-3.81513465806E+01
3.04529764882E+09,-3.81206444211E+01
3.04573486743E+09,-3.81010320752E+01
