! Planar; Obzor-804;22140011; 22.4.2/3
! Date: 13.10.2023 11:17:40;;;
! Stimulus(Ãö);    S21(°);;
5.28010200000E+09;-4.94495977278E+03;;
5.32010050000E+09;-4.98506648897E+03;;
5.36009900000E+09;-5.01679329083E+03;;
5.40009750000E+09;-5.05644547048E+03;;
5.44009600000E+09;-5.09534292928E+03;;
5.48009450000E+09;-5.13441288743E+03;;
5.52009300000E+09;-5.16976767724E+03;;
5.56009150000E+09;-5.20640041582E+03;;
5.60009000000E+09;-5.24494838947E+03;;
5.64008850000E+09;-5.28296722723E+03;;
5.68008700000E+09;-5.32371909676E+03;;
5.72008550000E+09;-5.35866312402E+03;;
5.76008400000E+09;-5.39645828789E+03;;
5.80008250000E+09;-5.42974784871E+03;;
5.84008100000E+09;-5.47371022873E+03;;
5.88007950000E+09;-5.51000391938E+03;;
5.92007800000E+09;-5.54888346770E+03;;
5.96007650000E+09;-5.58138148749E+03;;
6.00007500000E+09;-5.62129808928E+03;;
6.04007350000E+09;-5.66118142144E+03;;
6.08007200000E+09;-5.69922898959E+03;;
6.12007050000E+09;-5.73416623388E+03;;
6.16006900000E+09;-5.77309262868E+03;;
6.20006750000E+09;-5.80973995434E+03;;
6.24006600000E+09;-5.83795013676E+03;;
6.28006450000E+09;-5.88235150747E+03;;
6.32006300000E+09;-5.92008068944E+03;;
6.36006150000E+09;-5.95970784865E+03;;
6.40006000000E+09;-5.97851919372E+03;;
6.44005850000E+09;-6.02465622182E+03;;
6.48005700000E+09;-6.06899170529E+03;;
6.52005550000E+09;-6.09976285282E+03;;
6.56005400000E+09;-6.13013980824E+03;;
6.60005250000E+09;-6.17317123802E+03;;
6.64005100000E+09;-6.21269699096E+03;;
6.68004950000E+09;-6.25024300256E+03;;
6.72004800000E+09;-6.28684963647E+03;;
6.76004650000E+09;-6.32444903333E+03;;
6.80004500000E+09;-6.36260327923E+03;;
6.84004350000E+09;-6.40017824940E+03;;
6.88004200000E+09;-6.43757781282E+03;;
6.92004050000E+09;-6.47479558330E+03;;
6.96003900000E+09;-6.50710129614E+03;;
7.00003750000E+09;-6.54900082006E+03;;
7.04003600000E+09;-6.58691863365E+03;;
7.08003450000E+09;-6.62524329005E+03;;
7.12003300000E+09;-6.65839676163E+03;;
7.16003150000E+09;-6.69594267905E+03;;
7.20003000000E+09;-6.73193744031E+03;;
7.24002850000E+09;-6.77257475106E+03;;
7.28002700000E+09;-6.80951795365E+03;;
7.32002550000E+09;-6.84505179812E+03;;
