! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:17:53
! Stimulus(Гц),    S21(с)
3.08018450000E+09,+2.64822016839E-09
3.12018300000E+09,+2.50223720106E-09
3.16018150000E+09,+2.59346884084E-09
3.20018000000E+09,+2.55009706230E-09
3.24017850000E+09,+2.67432068262E-09
3.28017700000E+09,+2.62899107159E-09
3.32017550000E+09,+2.56934754510E-09
3.36017400000E+09,+2.48308750502E-09
3.40017250000E+09,+2.59960808789E-09
3.44017100000E+09,+2.68999491316E-09
3.48016950000E+09,+2.49315820588E-09
3.52016800000E+09,+2.49282174938E-09
3.56016650000E+09,+2.58795730044E-09
3.60016500000E+09,+2.67835493114E-09
3.64016350000E+09,+2.46132321059E-09
3.68016200000E+09,+2.66017430817E-09
3.72016050000E+09,+2.63674202242E-09
3.76015900000E+09,+2.97285333129E-09
3.80015750000E+09,+2.89766413073E-09
3.84015600000E+09,+2.51316701450E-09
3.88015450000E+09,+2.42408889740E-09
3.92015300000E+09,+2.68140774169E-09
3.96015150000E+09,+2.61379455318E-09
4.00015000000E+09,+2.54138255180E-09
4.04014850000E+09,+2.51124573266E-09
4.08014700000E+09,+2.63066609840E-09
4.12014550000E+09,+2.70020937907E-09
4.16014400000E+09,+2.52701946769E-09
4.20014250000E+09,+2.60501907310E-09
4.24014100000E+09,+2.47127654796E-09
4.28013950000E+09,+2.64592902294E-09
4.32013800000E+09,+2.81956829463E-09
4.36013650000E+09,+2.50164501656E-09
4.40013500000E+09,+2.43436032776E-09
4.44013350000E+09,+2.71626174724E-09
4.48013200000E+09,+2.85349062915E-09
4.52013050000E+09,+2.69271351185E-09
4.56012900000E+09,+3.86135345027E-09
4.60012750000E+09,+4.02241177484E-11
4.64012600000E+09,+2.78544671559E-09
4.68012450000E+09,+3.08726749496E-09
4.72012300000E+09,+1.93309082065E-09
4.76012150000E+09,+3.00361531795E-09
4.80012000000E+09,+2.69044746049E-09
4.84011850000E+09,+2.96114663027E-09
4.88011700000E+09,+2.31430766519E-09
4.92011550000E+09,+2.92430411492E-09
4.96011400000E+09,+2.36677039983E-09
5.00011250000E+09,+2.53055836240E-09
5.04011100000E+09,+2.71894140056E-09
5.08010950000E+09,+2.88814749437E-09
5.12010800000E+09,+2.31676056514E-09
5.16010650000E+09,+2.70488955779E-09
5.20010500000E+09,+2.51486693643E-09
5.24010350000E+09,+2.73648370403E-09
5.28010200000E+09,+2.61659786941E-09
5.32010050000E+09,+2.78629031042E-09
5.36009900000E+09,+2.20233278184E-09
5.40009750000E+09,+2.75299807125E-09
5.44009600000E+09,+2.70151992452E-09
5.48009450000E+09,+2.71434141165E-09
5.52009300000E+09,+2.45494321390E-09
5.56009150000E+09,+2.54337598630E-09
5.60009000000E+09,+2.67774772055E-09
5.64008850000E+09,+2.63977857072E-09
5.68008700000E+09,+2.82991146497E-09
5.72008550000E+09,+2.42722838296E-09
5.76008400000E+09,+2.62510117375E-09
5.80008250000E+09,+2.31197728038E-09
5.84008100000E+09,+3.05235659806E-09
5.88007950000E+09,+2.51925233084E-09
5.92007800000E+09,+2.69886079353E-09
5.96007650000E+09,+2.25973201827E-09
6.00007500000E+09,+2.77167353553E-09
6.04007350000E+09,+2.76824407260E-09
6.08007200000E+09,+2.64307930837E-09
6.12007050000E+09,+2.42742223415E-09
6.16006900000E+09,+2.70224733906E-09
6.20006750000E+09,+2.54627874867E-09
6.24006600000E+09,+1.96011202560E-09
6.28006450000E+09,+3.08337739929E-09
6.32006300000E+09,+2.61743955992E-09
6.36006150000E+09,+2.75136620344E-09
6.40006000000E+09,+1.30868169535E-09
6.44005850000E+09,+3.20398946502E-09
6.48005700000E+09,+3.07722090595E-09
6.52005550000E+09,+2.13959285416E-09
6.56005400000E+09,+2.10778706184E-09
6.60005250000E+09,+2.99052386609E-09
6.64005100000E+09,+2.74310931622E-09
6.68004950000E+09,+2.60837295163E-09
6.72004800000E+09,+2.54165087434E-09
6.76004650000E+09,+2.61060361108E-09
6.80004500000E+09,+2.65235691834E-09
6.84004350000E+09,+2.60832634782E-09
6.88004200000E+09,+2.59507475400E-09
6.92004050000E+09,+2.58416126083E-09
6.96003900000E+09,+2.24741439825E-09
7.00003750000E+09,+2.90739164474E-09
7.04003600000E+09,+2.63395393186E-09
7.08003450000E+09,+2.66134136166E-09
7.12003300000E+09,+2.30373195895E-09
7.16003150000E+09,+2.60669914014E-09
7.20003000000E+09,+2.49923412205E-09
7.24002850000E+09,+2.82270096306E-09
7.28002700000E+09,+2.56299689340E-09
7.32002550000E+09,+2.46752815853E-09
7.36002400000E+09,+2.66163591541E-09
7.40002250000E+09,+2.81621500454E-09
7.44002100000E+09,+3.50385354194E-09
7.48001950000E+09,+3.17592289341E-09
7.52001800000E+09,+2.93563977263E-09
7.56001650000E+09,+2.63750472621E-09
7.60001500000E+09,+2.49992027538E-09
7.64001350000E+09,+2.39347577183E-09
7.68001200000E+09,+2.44417332838E-09
7.72001050000E+09,+2.49733903697E-09
7.76000900000E+09,+2.58937153081E-09
7.80000750000E+09,+2.39211111419E-09
7.84000600000E+09,+2.65586162937E-09
7.88000450000E+09,+2.34844732232E-09
7.92000300000E+09,+2.57386312639E-09
7.96000150000E+09,+2.29143263470E-09
8.00000000000E+09,+2.82887652139E-09
