! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:21:34
! Stimulus(Гц),    S21(дБ)
4.71083341671E+09,-1.35577560428E+00
4.71268334167E+09,-1.24694245329E+00
4.71453326663E+09,-1.13302142626E+00
4.71638319160E+09,-1.02387123399E+00
4.71823311656E+09,-9.08975485723E-01
4.72008304152E+09,-8.00413023064E-01
4.72193296648E+09,-6.80642436897E-01
4.72378289145E+09,-5.60744520131E-01
4.72563281641E+09,-4.52566453680E-01
4.72748274137E+09,-3.47118460720E-01
4.72933266633E+09,-2.54426657175E-01
4.73118259130E+09,-1.75895836238E-01
4.73303251626E+09,-1.03428173153E-01
4.73488244122E+09,-4.85588614486E-02
4.73673236618E+09,-4.96549798512E-03
4.73858229115E+09,+2.89169796884E-02
4.74043221611E+09,+4.37481743282E-02
4.74228214107E+09,+5.43450094363E-02
4.74413206603E+09,+5.42102810666E-02
4.74598199100E+09,+4.39838745422E-02
4.74783191596E+09,+3.26673825044E-02
4.74968184092E+09,+1.16353971356E-02
4.75153176588E+09,-8.56077209408E-03
4.75338169085E+09,-2.65102762660E-02
4.75523161581E+09,-4.71698152614E-02
4.75708154077E+09,-6.27463745296E-02
4.75893146573E+09,-7.84954762377E-02
4.76078139070E+09,-8.81104076225E-02
4.76263131566E+09,-8.24828007747E-02
4.76448124062E+09,-7.55312326517E-02
4.76633116558E+09,-6.47409965708E-02
4.76818109055E+09,-4.92718280106E-02
4.77003101551E+09,-3.92639864687E-02
4.77188094047E+09,-2.47082569016E-02
4.77373086543E+09,-1.01390711731E-02
4.77558079040E+09,+9.66595591605E-04
4.77743071536E+09,+1.65724946513E-02
4.77928064032E+09,+2.08661041569E-02
4.78113056528E+09,+2.66011098550E-02
4.78298049025E+09,+3.04550636101E-02
4.78483041521E+09,+2.95499365396E-02
4.78668034017E+09,+1.91213616814E-02
4.78853026513E+09,+6.64700468747E-03
4.79038019010E+09,-1.45835543045E-02
4.79223011506E+09,-3.86181531976E-02
4.79408004002E+09,-6.97645864945E-02
4.79592996498E+09,-1.10887300076E-01
4.79777988994E+09,-1.58061153028E-01
4.79962981491E+09,-2.11357957959E-01
4.80147973987E+09,-2.96527238368E-01
4.80332966483E+09,-3.99764201775E-01
4.80517958979E+09,-5.03421724318E-01
4.80702951476E+09,-6.08544380232E-01
4.80887943972E+09,-7.13585797220E-01
4.81072936468E+09,-8.14341361595E-01
4.81257928964E+09,-9.08229549214E-01
4.81442921461E+09,-9.98850800329E-01
4.81627913957E+09,-1.07743384971E+00
4.81812906453E+09,-1.14185531815E+00
4.81997898949E+09,-1.19698720625E+00
4.82182891446E+09,-1.23423021707E+00
