! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:22:08
! Stimulus(Гц),    S21(°)
4.65718559280E+09,-7.49058251774E+02
4.65903551776E+09,-7.52282738714E+02
4.66088544272E+09,-7.55451922200E+02
4.66273536768E+09,-7.58554633622E+02
4.66458529265E+09,-7.61605158928E+02
4.66643521761E+09,-7.64593570114E+02
4.66828514257E+09,-7.67524470358E+02
4.67013506753E+09,-7.70421035927E+02
4.67198499250E+09,-7.73236615149E+02
4.67383491746E+09,-7.76025377410E+02
4.67568484242E+09,-7.78762672547E+02
4.67753476738E+09,-7.81455615450E+02
4.67938469235E+09,-7.84097058288E+02
4.68123461731E+09,-7.86622951684E+02
4.68308454227E+09,-7.89051659932E+02
4.68493446723E+09,-7.91451737832E+02
4.68678439220E+09,-7.93829653890E+02
4.68863431716E+09,-7.96191063606E+02
4.69048424212E+09,-7.98536065898E+02
4.69233416708E+09,-8.00865456029E+02
4.69418409205E+09,-8.03228717491E+02
4.69603401701E+09,-8.05590567626E+02
4.69788394197E+09,-8.07976878167E+02
4.69973386693E+09,-8.10404504321E+02
4.70158379190E+09,-8.12853632993E+02
4.70343371686E+09,-8.15350153876E+02
4.70528364182E+09,-8.17907458334E+02
4.70713356678E+09,-8.20525430357E+02
4.70898349175E+09,-8.23191711224E+02
4.71083341671E+09,-8.25946779367E+02
4.71268334167E+09,-8.28750451415E+02
4.71453326663E+09,-8.31639459829E+02
4.71638319160E+09,-8.34601602261E+02
4.71823311656E+09,-8.37637782291E+02
4.72008304152E+09,-8.40755353209E+02
4.72193296648E+09,-8.43888303679E+02
4.72378289145E+09,-8.47102444774E+02
4.72563281641E+09,-8.50388438737E+02
4.72748274137E+09,-8.53722639070E+02
4.72933266633E+09,-8.57125310152E+02
4.73118259130E+09,-8.60567654294E+02
4.73303251626E+09,-8.64028285309E+02
4.73488244122E+09,-8.67515599073E+02
4.73673236618E+09,-8.71012105844E+02
4.73858229115E+09,-8.74499419014E+02
