! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 12.09.2023 19:48:33
! Stimulus(Гц),    S21(°)
4.31197399740E+09,-2.97650640466E+02
4.31234883488E+09,-3.04505278425E+02
4.31272367237E+09,-3.10769078826E+02
4.31309850985E+09,-3.16404611847E+02
4.31347334733E+09,-3.21423659931E+02
4.31384818482E+09,-3.25795053836E+02
4.31422302230E+09,-3.29654551471E+02
4.31459785979E+09,-3.33049448406E+02
4.31497269727E+09,-3.36033160755E+02
4.31534753475E+09,-3.38667312962E+02
4.31572237224E+09,-3.40983773569E+02
4.31609720972E+09,-3.43074126609E+02
4.31647204720E+09,-3.44921068518E+02
4.31684688469E+09,-3.46608726787E+02
4.31722172217E+09,-3.48094701226E+02
4.31759655966E+09,-3.49459143436E+02
4.31797139714E+09,-3.50697510118E+02
4.31834623462E+09,-3.51815877851E+02
4.31872107211E+09,-3.52897429427E+02
4.31909590959E+09,-3.53833555099E+02
4.31947074707E+09,-3.54737648435E+02
4.31984558456E+09,-3.55538780335E+02
4.32022042204E+09,-3.56303712375E+02
4.32059525953E+09,-3.57021674746E+02
4.32097009701E+09,-3.57697070306E+02
4.32134493449E+09,-3.58328321045E+02
4.32171977198E+09,-3.58926423041E+02
4.32209460946E+09,-3.59484870782E+02
4.32246944694E+09,-3.60001882842E+02
4.32284428443E+09,-3.60517221333E+02
4.32321912191E+09,-3.60993655045E+02
4.32359395940E+09,-3.61455828435E+02
4.32396879688E+09,-3.61897264304E+02
4.32434363436E+09,-3.62321329793E+02
4.32471847185E+09,-3.62726773704E+02
4.32509330933E+09,-3.63132470054E+02
4.32546814681E+09,-3.63508568800E+02
4.32584298430E+09,-3.63881285706E+02
4.32621782178E+09,-3.64236613492E+02
4.32659265927E+09,-3.64588766347E+02
4.32696749675E+09,-3.64933130084E+02
4.32734233423E+09,-3.65252422332E+02
4.32771717172E+09,-3.65589067558E+02
4.32809200920E+09,-3.65921399485E+02
4.32846684668E+09,-3.66226915780E+02
4.32884168417E+09,-3.66542234588E+02
4.32921652165E+09,-3.66848494154E+02
4.32959135914E+09,-3.67158513879E+02
4.32996619662E+09,-3.67474655394E+02
4.33034103410E+09,-3.67778069834E+02
4.33071587159E+09,-3.68075653886E+02
4.33109070907E+09,-3.68386165394E+02
4.33146554655E+09,-3.68685016066E+02
4.33184038404E+09,-3.68994353432E+02
4.33221522152E+09,-3.69300259646E+02
4.33259005901E+09,-3.69610913136E+02
4.33296489649E+09,-3.69917761825E+02
4.33333973397E+09,-3.70235158129E+02
4.33371457146E+09,-3.70562190604E+02
4.33408940894E+09,-3.70888705670E+02
4.33446424642E+09,-3.71202071970E+02
4.33483908391E+09,-3.71543821718E+02
4.33521392139E+09,-3.71885374433E+02
4.33558875888E+09,-3.72232889081E+02
4.33596359636E+09,-3.72582843012E+02
4.33633843384E+09,-3.72945549364E+02
4.33671327133E+09,-3.73314888940E+02
4.33708810881E+09,-3.73698821079E+02
4.33746294629E+09,-3.74086342037E+02
4.33783778378E+09,-3.74487725731E+02
4.33821262126E+09,-3.74902068549E+02
4.33858745875E+09,-3.75341403973E+02
4.33896229623E+09,-3.75769697718E+02
4.33933713371E+09,-3.76230150269E+02
4.33971197120E+09,-3.76706655566E+02
4.34008680868E+09,-3.77190255246E+02
4.34046164616E+09,-3.77690126999E+02
4.34083648365E+09,-3.78232835893E+02
4.34121132113E+09,-3.78791752721E+02
4.34158615862E+09,-3.79350229108E+02
4.34196099610E+09,-3.79943716336E+02
