Column1;Column2;Column3;Column4
4,34E+09;-142,79;4,34;902,0264862
4,34E+09;-143,12;4,34;887,1789289
4,34E+09;-143,46;4,34;901,0848995
4,35E+09;-143,79;4,35;888,2971071
4,35E+09;-144,13;4,35;887,9612145
4,35E+09;-144,46;4,35;896,8005948
4,35E+09;-144,80;4,35;889,0804599
4,35E+09;-145,13;4,35;831,8830657
4,35E+09;-145,44;4,35;906,7551861
4,35E+09;-145,78;4,35;854,3116633
4,35E+09;-146,10;4,35;877,9299044
4,35E+09;-146,43;4,35;852,9427886
4,35E+09;-146,75;4,35;842,6972964
4,35E+09;-147,07;4,35;863,3462801
4,35E+09;-147,39;4,35;831,6846909
4,35E+09;-147,70;4,35;856,0914693
4,35E+09;-148,02;4,35;843,4413297
4,35E+09;-148,34;4,35;821,9797337
4,35E+09;-148,65;4,35;835,7436268
4,35E+09;-148,96;4,35;797,0149064
4,35E+09;-149,26;4,35;825,6277067
4,35E+09;-149,57;4,35;835,7604528
4,35E+09;-149,88;4,35;822,8168826
4,35E+09;-150,19;4,35;799,3718344
4,35E+09;-150,49;4,35;812,2082692
4,35E+09;-150,79;4,35;822,0743961
4,35E+09;-151,10;4,35;813,1575797
4,35E+09;-151,41;4,35;788,5323104
4,35E+09;-151,70;4,35;795,2129814
4,36E+09;-152,00;4,36;790,6753135
4,36E+09;-152,30;4,36;832,4006758
4,36E+09;-152,61;4,36;781,4240001
4,36E+09;-152,90;4,36;809,1037959
4,36E+09;-153,21;4,36;766,5513972
4,36E+09;-153,49;4,36;794,3698826
4,36E+09;-153,79;4,36;784,7551188
4,36E+09;-154,08;4,36;799,2372988
4,36E+09;-154,38;4,36;800,2308787
4,36E+09;-154,68;4,36;772,5075312
4,36E+09;-154,97;4,36;797,1585766
4,36E+09;-155,27;4,36;803,5067944
4,36E+09;-155,57;4,36;763,8133412
4,36E+09;-155,86;4,36;787,2504639
4,36E+09;-156,16;4,36;780,8098144
4,36E+09;-156,45;4,36;801,449767
4,36E+09;-156,75;4,36;805,5162627
4,36E+09;-157,05;4,36;774,8332564
4,36E+09;-157,34;4,36;782,1994028
4,36E+09;-157,63;4,36;822,1958855
4,36E+09;-157,94;4,36;753,0400989
4,36E+09;-158,22;4,36;823,2036241
4,36E+09;-158,53;4,36;772,1372294
4,36E+09;-158,82;4,36;796,1768418
4,36E+09;-159,12;4,36;822,2762142
4,36E+09;-159,43;4,36;802,3503652
4,36E+09;-159,73;4,36;808,2945761
4,37E+09;-160,03;4,37;814,4294211
4,37E+09;-160,34;4,37;783,3348069
4,37E+09;-160,63;4,37;798,6446633
4,37E+09;-160,93;4,37;827,5839138
4,37E+09;-161,24;4,37;809,0893525
4,37E+09;-161,54;4,37;831,433735
4,37E+09;-161,86;4,37;837,1936996
4,37E+09;-162,17;4,37;806,8563795
4,37E+09;-162,47;4,37;817,8343607
4,37E+09;-162,78;4,37;844,9351676
4,37E+09;-163,10;4,37;812,8366566
4,37E+09;-163,40;4,37;845,2934337
4,37E+09;-163,72;4,37;830,8445436
4,37E+09;-164,03;4,37;876,0287925
