L, [м];! Stimulus(Гц);    S21(°);f, [ГГц];φ, [рад];ω, [рад*ГГц];τГВЗ, [нс];γ(ω), [рад/м];vгр.,[Гм/c];;;
;4701430143,00;-479,73;4,70;-8,37;29,54;4,84;-15,22;-0,11;;;
;4701804981,00;-480,38;4,70;-8,38;29,54;5,15;-15,24;-0,11;;;
;4702179818,00;-481,08;4,70;-8,40;29,54;5,14;-15,27;-0,11;;;
;4702554655,00;-481,77;4,70;-8,41;29,55;5,19;-15,29;-0,11;;;
;4702929493,00;-482,47;4,70;-8,42;29,55;5,42;-15,31;-0,10;;;
;4703304330,00;-483,20;4,70;-8,43;29,55;5,53;-15,33;-0,10;;;
;4703679168,00;-483,95;4,70;-8,45;29,55;5,61;-15,36;-0,10;;;
;4704054005,00;-484,71;4,70;-8,46;29,56;5,60;-15,38;-0,10;;;
;4704428843,00;-485,46;4,70;-8,47;29,56;5,76;-15,41;-0,10;;;
;4704803680,00;-486,24;4,70;-8,49;29,56;5,85;-15,43;-0,09;;;
;4705178518,00;-487,03;4,71;-8,50;29,56;5,84;-15,46;-0,09;;;
;4705553355,00;-487,82;4,71;-8,51;29,57;6,00;-15,48;-0,09;;;
;4705928193,00;-488,63;4,71;-8,53;29,57;5,79;-15,51;-0,09;;;
;4706303030,00;-489,41;4,71;-8,54;29,57;5,74;-15,53;-0,10;;;
;4706677868,00;-490,18;4,71;-8,56;29,57;5,57;-15,56;-0,10;;;
;4707052705,00;-490,93;4,71;-8,57;29,58;5,14;-15,58;-0,11;;;
;4707427543,00;-491,63;4,71;-8,58;29,58;4,96;-15,60;-0,11;;;
;4707802380,00;-492,30;4,71;-8,59;29,58;3,95;-15,62;-0,14;;;
;4708177218,00;-492,83;4,71;-8,60;29,58;3,39;-15,64;-0,16;;;
;4708552055,00;-493,29;4,71;-8,61;29,58;2,04;-15,65;-0,27;;;
;4708926893,00;-493,56;4,71;-8,61;29,59;0,71;-15,66;-0,78;;;
;4709301730,00;-493,66;4,71;-8,62;29,59;-1,23;-15,67;0,45;;;
;4709676568,00;-493,49;4,71;-8,61;29,59;-3,26;-15,66;0,17;;;
;4710051405,00;-493,05;4,71;-8,61;29,59;-5,72;-15,65;0,10;;;
;4710426243,00;-492,28;4,71;-8,59;29,60;-8,42;-15,62;0,07;;;
;4710801080,00;-491,15;4,71;-8,57;29,60;-11,00;-15,59;0,05;;;
;4711175918,00;-489,66;4,71;-8,55;29,60;-13,30;-15,54;0,04;;;
;4711550755,00;-487,87;4,71;-8,51;29,60;-15,10;-15,48;0,04;;;
;4711925593,00;-485,83;4,71;-8,48;29,61;-16,05;-15,42;0,03;;;
;4712300430,00;-483,66;4,71;-8,44;29,61;-16,19;-15,35;0,03;;;
;4712675268,00;-481,48;4,71;-8,40;29,61;-15,21;-15,28;0,04;;;
;4713050105,00;-479,42;4,71;-8,37;29,61;-13,65;-15,21;0,04;;;
;4713424942,00;-477,58;4,71;-8,34;29,62;-11,68;-15,16;0,05;;;
;4713799780,00;-476,01;4,71;-8,31;29,62;-9,51;-15,11;0,06;;;
;4714174617,00;-474,72;4,71;-8,29;29,62;-7,23;-15,06;0,08;;;
;4714549455,00;-473,75;4,71;-8,27;29,62;-5,12;-15,03;0,11;;;
;4714924292,00;-473,06;4,71;-8,26;29,62;-3,25;-15,01;0,17;;;
;4715299130,00;-472,62;4,72;-8,25;29,63;-1,81;-15,00;0,30;;;
;4715673967,00;-472,37;4,72;-8,24;29,63;-0,22;-14,99;2,55;;;
;4716048805,00;-472,34;4,72;-8,24;29,63;0,54;-14,99;-1,02;;;
;4716423642,00;-472,42;4,72;-8,25;29,63;1,62;-14,99;-0,34;;;
;4716798480,00;-472,64;4,72;-8,25;29,64;2,27;-15,00;-0,24;;;
;4717173317,00;-472,94;4,72;-8,25;29,64;2,68;-15,01;-0,21;;;
;4717548155,00;-473,30;4,72;-8,26;29,64;3,29;-15,02;-0,17;;;
;4717922992,00;-473,75;4,72;-8,27;29,64;3,37;-15,03;-0,16;;;
;4718297830,00;-474,20;4,72;-8,28;29,65;3,86;-15,05;-0,14;;;
;4718672667,00;-474,72;4,72;-8,29;29,65;3,78;-15,06;-0,15;;;
;4719047505,00;-475,23;4,72;-8,29;29,65;4,09;-15,08;-0,13;;;
;4719422342,00;-475,79;4,72;-8,30;29,65;4,19;-15,10;-0,13;;;
;4719797180,00;-476,35;4,72;-8,31;29,66;4,08;-15,12;-0,13;;;
;4720172017,00;-476,90;4,72;-8,32;29,66;4,23;-15,13;-0,13;;;
;4720546855,00;-477,47;4,72;-8,33;29,66;4,32;-15,15;-0,13;;;
;4720921692,00;-478,05;4,72;-8,34;29,66;4,19;-15,17;-0,13;;;
;4721296530,00;-478,62;4,72;-8,35;29,66;4,16;-15,19;-0,13;;;
;4721671367,00;-479,18;4,72;-8,36;29,67;4,20;-15,21;-0,13;;;
;4722046205,00;-479,75;4,72;-8,37;29,67;4,24;-15,22;-0,13;;;
;4722421042,00;-480,32;4,72;-8,38;29,67;4,05;-15,24;-0,14;;;
;4722795880,00;-480,87;4,72;-8,39;29,67;4,12;-15,26;-0,13;;;
;4723170717,00;-481,42;4,72;-8,40;29,68;4,15;-15,28;-0,13;;;
;4723545555,00;-481,98;4,72;-8,41;29,68;4,00;-15,29;-0,14;;;
;4723920392,00;-482,52;4,72;-8,42;29,68;4,06;-15,31;-0,14;;;
;4724295230,00;-483,07;4,72;-8,43;29,68;3,94;-15,33;-0,14;;;
;4724670067,00;-483,60;4,72;-8,44;29,69;3,94;-15,35;-0,14;;;
;4725044904,00;-484,13;4,73;-8,45;29,69;3,91;-15,36;-0,14;;;
;4725419742,00;-484,66;4,73;-8,46;29,69;3,88;-15,38;-0,14;;;
;4725794579,00;-485,18;4,73;-8,47;29,69;3,88;-15,40;-0,14;;;
;4726169417,00;-485,71;4,73;-8,48;29,70;3,70;-15,41;-0,15;;;
;4726544254,00;-486,21;4,73;-8,49;29,70;3,87;-15,43;-0,14;;;
;4726919092,00;-486,73;4,73;-8,50;29,70;3,72;-15,45;-0,15;;;
;4727293929,00;-487,23;4,73;-8,50;29,70;3,68;-15,46;-0,15;;;
;4727668767,00;-487,73;4,73;-8,51;29,70;3,68;-15,48;-0,15;;;
;4728043604,00;-488,23;4,73;-8,52;29,71;3,68;-15,49;-0,15;;;
;4728418442,00;-488,72;4,73;-8,53;29,71;3,54;-15,51;-0,16;;;
;4728793279,00;-489,20;4,73;-8,54;29,71;3,59;-15,52;-0,15;;;
;4729168117,00;-489,69;4,73;-8,55;29,71;3,60;-15,54;-0,15;;;
;4729542954,00;-490,17;4,73;-8,56;29,72;3,51;-15,55;-0,16;;;
;4729917792,00;-490,65;4,73;-8,56;29,72;3,57;-15,57;-0,15;;;
;4730292629,00;-491,13;4,73;-8,57;29,72;3,60;-15,59;-0,15;;;
;4730667467,00;-491,61;4,73;-8,58;29,72;3,34;-15,60;-0,16;;;
;4731042304,00;-492,06;4,73;-8,59;29,73;3,49;-15,61;-0,16;;;
;4731417142,00;-492,54;4,73;-8,60;29,73;3,49;-15,63;-0,16;;;
;4731791979,00;-493,01;4,73;-8,60;29,73;3,42;-15,64;-0,16;;;
;4732166817,00;-493,47;4,73;-8,61;29,73;3,40;-15,66;-0,16;;;
;4732541654,00;-493,93;4,73;-8,62;29,74;3,45;-15,67;-0,16;;;
;4732916492,00;-494,39;4,73;-8,63;29,74;3,29;-15,69;-0,17;;;
;4733291329,00;-494,83;4,73;-8,64;29,74;3,43;-15,70;-0,16;;;
;4733666167,00;-495,30;4,73;-8,64;29,74;3,32;-15,72;-0,17;;;
;4734041004,00;-495,75;4,73;-8,65;29,74;3,33;-15,73;-0,17;;;
;4734415842,00;-496,20;4,73;-8,66;29,75;3,37;-15,75;-0,16;;;
;4734790679,00;-496,65;4,73;-8,67;29,75;3,27;-15,76;-0,17;;;
;4735165517,00;-497,09;4,74;-8,68;29,75;3,29;-15,77;-0,17;;;
;4735540354,00;-497,54;4,74;-8,68;29,75;3,28;-15,79;-0,17;;;
;4735915192,00;-497,98;4,74;-8,69;29,76;3,24;-15,80;-0,17;;;
;4736290029,00;-498,42;4,74;-8,70;29,76;3,31;-15,82;-0,17;;;
;4736664866,00;-498,86;4,74;-8,71;29,76;3,22;-15,83;-0,17;;;
;4737039704,00;-499,30;4,74;-8,71;29,76;3,24;-15,84;-0,17;;;
;4737414541,00;-499,73;4,74;-8,72;29,77;3,24;-15,86;-0,17;;;
;4737789379,00;-500,17;4,74;-8,73;29,77;3,14;-15,87;-0,18;;;
;4738164216,00;-500,60;4,74;-8,74;29,77;3,27;-15,89;-0,17;;;
;4738539054,00;-501,04;4,74;-8,74;29,77;3,18;-15,90;-0,17;;;
;4738913891,00;-501,47;4,74;-8,75;29,78;3,15;-15,91;-0,17;;;
;4739288729,00;-501,89;4,74;-8,76;29,78;3,16;-15,93;-0,17;;;
;4739663566,00;-502,32;4,74;-8,77;29,78;3,22;-15,94;-0,17;;;
;4740038404,00;-502,75;4,74;-8,77;29,78;3,11;-15,95;-0,18;;;
;4740413241,00;-503,17;4,74;-8,78;29,78;3,15;-15,97;-0,17;;;
;4740788079,00;-503,60;4,74;-8,79;29,79;3,16;-15,98;-0,17;;;
;4741162916,00;-504,02;4,74;-8,80;29,79;3,18;-15,99;-0,17;;;
;4741537754,00;-504,45;4,74;-8,80;29,79;3,08;-16,01;-0,18;;;
;4741912591,00;-504,87;4,74;-8,81;29,79;3,13;-16,02;-0,18;;;
;4742287429,00;-505,29;4,74;-8,82;29,80;3,08;-16,03;-0,18;;;
;4742662266,00;-505,71;4,74;-8,83;29,80;3,11;-16,05;-0,18;;;
;4743037104,00;-506,13;4,74;-8,83;29,80;3,14;-16,06;-0,18;;;
;4743411941,00;-506,55;4,74;-8,84;29,80;3,07;-16,07;-0,18;;;
;4743786779,00;-506,96;4,74;-8,85;29,81;3,05;-16,09;-0,18;;;
;4744161616,00;-507,37;4,74;-8,86;29,81;3,07;-16,10;-0,18;;;
;4744536454,00;-507,79;4,74;-8,86;29,81;3,07;-16,11;-0,18;;;
;4744911291,00;-508,20;4,74;-8,87;29,81;3,09;-16,13;-0,18;;;
;4745286129,00;-508,62;4,75;-8,88;29,82;3,04;-16,14;-0,18;;;
;4745660966,00;-509,03;4,75;-8,88;29,82;3,06;-16,15;-0,18;;;
;4746035804,00;-509,44;4,75;-8,89;29,82;3,05;-16,17;-0,18;;;
;4746410641,00;-509,85;4,75;-8,90;29,82;3,02;-16,18;-0,18;;;
;4746785479,00;-510,26;4,75;-8,91;29,82;3,08;-16,19;-0,18;;;
;4747160316,00;-510,68;4,75;-8,91;29,83;2,98;-16,21;-0,18;;;
;4747535154,00;-511,08;4,75;-8,92;29,83;2,99;-16,22;-0,18;;;
;4747909991,00;-511,48;4,75;-8,93;29,83;3,01;-16,23;-0,18;;;
;4748284828,00;-511,89;4,75;-8,93;29,83;3,07;-16,24;-0,18;;;
;4748659666,00;-512,30;4,75;-8,94;29,84;2,97;-16,26;-0,19;;;
;4749034503,00;-512,70;4,75;-8,95;29,84;2,98;-16,27;-0,18;;;
;4749409341,00;-513,11;4,75;-8,96;29,84;3,03;-16,28;-0,18;;;
;4749784178,00;-513,51;4,75;-8,96;29,84;2,96;-16,30;-0,19;;;
;4750159016,00;-513,91;4,75;-8,97;29,85;3,04;-16,31;-0,18;;;
;4750533853,00;-514,32;4,75;-8,98;29,85;2,93;-16,32;-0,19;;;
;4750908691,00;-514,72;4,75;-8,98;29,85;3,01;-16,33;-0,18;;;
;4751283528,00;-515,13;4,75;-8,99;29,85;2,93;-16,35;-0,19;;;
;4751658366,00;-515,52;4,75;-9,00;29,86;3,00;-16,36;-0,18;;;
;4752033203,00;-515,93;4,75;-9,00;29,86;2,89;-16,37;-0,19;;;
;4752408041,00;-516,32;4,75;-9,01;29,86;2,92;-16,38;-0,19;;;
;4752782878,00;-516,71;4,75;-9,02;29,86;2,98;-16,40;-0,18;;;
;4753157716,00;-517,11;4,75;-9,03;29,86;2,92;-16,41;-0,19;;;
;4753532553,00;-517,51;4,75;-9,03;29,87;2,92;-16,42;-0,19;;;
;4753907391,00;-517,90;4,75;-9,04;29,87;2,93;-16,43;-0,19;;;
;4754282228,00;-518,30;4,75;-9,05;29,87;2,97;-16,45;-0,18;;;
;4754657066,00;-518,70;4,75;-9,05;29,87;2,92;-16,46;-0,19;;;
;4755031903,00;-519,09;4,76;-9,06;29,88;2,89;-16,47;-0,19;;;
;4755406741,00;-519,48;4,76;-9,07;29,88;2,93;-16,48;-0,19;;;
;4755781578,00;-519,88;4,76;-9,07;29,88;2,88;-16,50;-0,19;;;
;4756156416,00;-520,27;4,76;-9,08;29,88;2,87;-16,51;-0,19;;;
;4756531253,00;-520,65;4,76;-9,09;29,89;2,94;-16,52;-0,19;;;
;4756906091,00;-521,05;4,76;-9,09;29,89;2,82;-16,53;-0,20;;;
;4757280928,00;-521,43;4,76;-9,10;29,89;2,97;-16,55;-0,18;;;
;4757655766,00;-521,83;4,76;-9,11;29,89;2,87;-16,56;-0,19;;;
;4758030603,00;-522,22;4,76;-9,11;29,90;2,92;-16,57;-0,19;;;
;4758405441,00;-522,61;4,76;-9,12;29,90;2,86;-16,58;-0,19;;;
;4758780278,00;-523,00;4,76;-9,13;29,90;2,81;-16,60;-0,20;;;
;4759155116,00;-523,38;4,76;-9,13;29,90;2,96;-16,61;-0,19;;;
;4759529953,00;-523,78;4,76;-9,14;29,91;2,81;-16,62;-0,20;;;
;4759904790,00;-524,16;4,76;-9,15;29,91;2,88;-16,63;-0,19;;;
;4760279628,00;-524,54;4,76;-9,16;29,91;2,91;-16,65;-0,19;;;
;4760654465,00;-524,94;4,76;-9,16;29,91;2,84;-16,66;-0,19;;;
;4761029303,00;-525,32;4,76;-9,17;29,91;2,91;-16,67;-0,19;;;
;4761404140,00;-525,71;4,76;-9,18;29,92;2,85;-16,68;-0,19;;;
;4761778978,00;-526,10;4,76;-9,18;29,92;2,84;-16,69;-0,19;;;
;4762153815,00;-526,48;4,76;-9,19;29,92;2,87;-16,71;-0,19;;;
;4762528653,00;-526,87;4,76;-9,20;29,92;2,90;-16,72;-0,19;;;
;4762903490,00;-527,26;4,76;-9,20;29,93;2,84;-16,73;-0,19;;;
;4763278328,00;-527,64;4,76;-9,21;29,93;2,90;-16,74;-0,19;;;
;4763653165,00;-528,03;4,76;-9,22;29,93;2,77;-16,76;-0,20;;;
;4764028003,00;-528,41;4,76;-9,22;29,93;2,93;-16,77;-0,19;;;
;4764402840,00;-528,80;4,76;-9,23;29,94;2,88;-16,78;-0,19;;;
;4764777678,00;-529,19;4,76;-9,24;29,94;2,82;-16,79;-0,19;;;
;4765152515,00;-529,57;4,77;-9,24;29,94;2,86;-16,81;-0,19;;;
;4765527353,00;-529,96;4,77;-9,25;29,94;2,89;-16,82;-0,19;;;
;4765902190,00;-530,35;4,77;-9,26;29,95;2,90;-16,83;-0,19;;;
;4766277028,00;-530,74;4,77;-9,26;29,95;2,94;-16,84;-0,19;;;
;4766651865,00;-531,14;4,77;-9,27;29,95;2,84;-16,85;-0,19;;;
;4767026703,00;-531,52;4,77;-9,28;29,95;2,91;-16,87;-0,19;;;
;4767401540,00;-531,91;4,77;-9,28;29,95;2,93;-16,88;-0,19;;;
;4767776378,00;-532,31;4,77;-9,29;29,96;2,87;-16,89;-0,19;;;
;4768151215,00;-532,70;4,77;-9,30;29,96;2,94;-16,90;-0,19;;;
;4768526053,00;-533,09;4,77;-9,30;29,96;2,91;-16,92;-0,19;;;
;4768900890,00;-533,49;4,77;-9,31;29,96;2,99;-16,93;-0,18;;;
;4769275728,00;-533,89;4,77;-9,32;29,97;2,94;-16,94;-0,19;;;
;4769650565,00;-534,29;4,77;-9,33;29,97;2,94;-16,95;-0,19;;;
;4770025403,00;-534,68;4,77;-9,33;29,97;2,95;-16,97;-0,19;;;
;4770400240,00;-535,08;4,77;-9,34;29,97;2,96;-16,98;-0,19;;;
;4770775078,00;-535,48;4,77;-9,35;29,98;2,95;-16,99;-0,19;;;
;4771149915,00;-535,88;4,77;-9,35;29,98;3,04;-17,01;-0,18;;;
;4771524752,00;-536,29;4,77;-9,36;29,98;2,94;-17,02;-0,19;;;
;4771899590,00;-536,69;4,77;-9,37;29,98;2,98;-17,03;-0,18;;;
;4772274427,00;-537,09;4,77;-9,37;29,99;3,03;-17,04;-0,18;;;
;4772649265,00;-537,50;4,77;-9,38;29,99;2,92;-17,06;-0,19;;;
;4773024102,00;-537,89;4,77;-9,39;29,99;3,04;-17,07;-0,18;;;
;4773398940,00;-538,30;4,77;-9,40;29,99;2,94;-17,08;-0,19;;;
;4773773777,00;-538,70;4,77;-9,40;29,99;2,98;-17,09;-0,18;;;
;4774148615,00;-539,10;4,77;-9,41;30,00;2,83;-17,11;-0,19;;;
;4774523452,00;-539,48;4,77;-9,42;30,00;2,87;-17,12;-0,19;;;
;4774898290,00;-539,87;4,77;-9,42;30,00;2,82;-17,13;-0,19;;;
;4775273127,00;-540,25;4,78;-9,43;30,00;2,72;-17,14;-0,20;;;
;4775647965,00;-540,61;4,78;-9,44;30,01;2,68;-17,16;-0,20;;;
;4776022802,00;-540,98;4,78;-9,44;30,01;2,62;-17,17;-0,21;;;
;4776397640,00;-541,33;4,78;-9,45;30,01;2,43;-17,18;-0,23;;;
;4776772477,00;-541,66;4,78;-9,45;30,01;2,42;-17,19;-0,23;;;
;4777147315,00;-541,99;4,78;-9,46;30,02;2,40;-17,20;-0,23;;;
;4777522152,00;-542,31;4,78;-9,47;30,02;2,28;-17,21;-0,24;;;
;4777896990,00;-542,62;4,78;-9,47;30,02;2,23;-17,22;-0,25;;;
;4778271827,00;-542,92;4,78;-9,48;30,02;2,23;-17,23;-0,25;;;
;4778646665,00;-543,22;4,78;-9,48;30,03;2,13;-17,24;-0,26;;;
;4779021502,00;-543,51;4,78;-9,49;30,03;2,26;-17,25;-0,24;;;
;4779396340,00;-543,81;4,78;-9,49;30,03;2,19;-17,26;-0,25;;;
;4779771177,00;-544,11;4,78;-9,50;30,03;2,26;-17,27;-0,24;;;
;4780146015,00;-544,41;4,78;-9,50;30,03;2,31;-17,28;-0,24;;;
;4780520852,00;-544,72;4,78;-9,51;30,04;2,43;-17,29;-0,23;;;
;4780895690,00;-545,05;4,78;-9,51;30,04;2,35;-17,30;-0,23;;;
;4781270527,00;-545,37;4,78;-9,52;30,04;2,52;-17,31;-0,22;;;
;4781645365,00;-545,71;4,78;-9,52;30,04;2,57;-17,32;-0,21;;;
;4782020202,00;-546,06;4,78;-9,53;30,05;2,57;-17,33;-0,21;;;
;4782395040,00;-546,40;4,78;-9,54;30,05;2,68;-17,34;-0,21;;;
;4782769877,00;-546,77;4,78;-9,54;30,05;2,61;-17,35;-0,21;;;
;4783144714,00;-547,12;4,78;-9,55;30,05;2,70;-17,36;-0,20;;;
;4783519552,00;-547,48;4,78;-9,56;30,06;2,77;-17,37;-0,20;;;
;4783894389,00;-547,86;4,78;-9,56;30,06;2,79;-17,39;-0,20;;;
;4784269227,00;-548,23;4,78;-9,57;30,06;2,76;-17,40;-0,20;;;
;4784644064,00;-548,61;4,78;-9,57;30,06;2,80;-17,41;-0,20;;;
;4785018902,00;-548,98;4,79;-9,58;30,07;2,80;-17,42;-0,20;;;
;4785393739,00;-549,36;4,79;-9,59;30,07;2,88;-17,43;-0,19;;;
;4785768577,00;-549,75;4,79;-9,59;30,07;2,83;-17,45;-0,19;;;
;4786143414,00;-550,13;4,79;-9,60;30,07;2,79;-17,46;-0,20;;;
;4786518252,00;-550,51;4,79;-9,61;30,07;2,92;-17,47;-0,19;;;
;4786893089,00;-550,90;4,79;-9,62;30,08;2,84;-17,48;-0,19;;;
;4787267927,00;-551,29;4,79;-9,62;30,08;2,88;-17,49;-0,19;;;
;4787642764,00;-551,68;4,79;-9,63;30,08;2,83;-17,51;-0,19;;;
;4788017602,00;-552,06;4,79;-9,64;30,08;2,93;-17,52;-0,19;;;
;4788392439,00;-552,45;4,79;-9,64;30,09;2,85;-17,53;-0,19;;;
;4788767277,00;-552,84;4,79;-9,65;30,09;2,86;-17,54;-0,19;;;
;4789142114,00;-553,22;4,79;-9,66;30,09;2,91;-17,56;-0,19;;;
;4789516952,00;-553,62;4,79;-9,66;30,09;2,93;-17,57;-0,19;;;
;4789891789,00;-554,01;4,79;-9,67;30,10;2,79;-17,58;-0,20;;;
;4790266627,00;-554,39;4,79;-9,68;30,10;2,89;-17,59;-0,19;;;
;4790641464,00;-554,78;4,79;-9,68;30,10;2,94;-17,60;-0,19;;;
;4791016302,00;-555,17;4,79;-9,69;30,10;2,85;-17,62;-0,19;;;
;4791391139,00;-555,56;4,79;-9,70;30,11;2,87;-17,63;-0,19;;;
;4791765977,00;-555,95;4,79;-9,70;30,11;2,93;-17,64;-0,19;;;
;4792140814,00;-556,34;4,79;-9,71;30,11;2,85;-17,65;-0,19;;;
;4792515652,00;-556,73;4,79;-9,72;30,11;2,93;-17,67;-0,19;;;
;4792890489,00;-557,12;4,79;-9,72;30,11;2,86;-17,68;-0,19;;;
;4793265327,00;-557,51;4,79;-9,73;30,12;2,94;-17,69;-0,19;;;
;4793640164,00;-557,90;4,79;-9,74;30,12;2,81;-17,70;-0,20;;;
;4794015002,00;-558,28;4,79;-9,74;30,12;2,92;-17,72;-0,19;;;
;4794389839,00;-558,68;4,79;-9,75;30,12;2,83;-17,73;-0,19;;;
;4794764676,00;-559,06;4,79;-9,76;30,13;2,89;-17,74;-0,19;;;
;4795139514,00;-559,45;4,80;-9,76;30,13;2,89;-17,75;-0,19;;;
;4795514351,00;-559,84;4,80;-9,77;30,13;2,87;-17,77;-0,19;;;
;4795889189,00;-560,23;4,80;-9,78;30,13;2,93;-17,78;-0,19;;;
;4796264026,00;-560,62;4,80;-9,78;30,14;2,86;-17,79;-0,19;;;
;4796638864,00;-561,01;4,80;-9,79;30,14;2,87;-17,80;-0,19;;;
;4797013701,00;-561,39;4,80;-9,80;30,14;2,93;-17,81;-0,19;;;
;4797388539,00;-561,79;4,80;-9,81;30,14;2,82;-17,83;-0,19;;;
;4797763376,00;-562,17;4,80;-9,81;30,15;2,88;-17,84;-0,19;;;
;4798138214,00;-562,56;4,80;-9,82;30,15;2,95;-17,85;-0,19;;;
;4798513051,00;-562,96;4,80;-9,83;30,15;2,82;-17,86;-0,20;;;
;4798887889,00;-563,34;4,80;-9,83;30,15;2,84;-17,88;-0,19;;;
;4799262726,00;-563,72;4,80;-9,84;30,15;2,92;-17,89;-0,19;;;
;4799637564,00;-564,11;4,80;-9,85;30,16;2,86;-17,90;-0,19;;;
;4800012401,00;-564,50;4,80;-9,85;30,16;2,93;-17,91;-0,19;;;
;4800387239,00;-564,90;4,80;-9,86;30,16;2,90;-17,93;-0,19;;;
;4800762076,00;-565,29;4,80;-9,87;30,16;2,93;-17,94;-0,19;;;
;4801136914,00;-565,68;4,80;-9,87;30,17;2,84;-17,95;-0,19;;;
;4801511751,00;-566,06;4,80;-9,88;30,17;2,95;-17,96;-0,19;;;
;4801886589,00;-566,46;4,80;-9,89;30,17;2,88;-17,98;-0,19;;;
;4802261426,00;-566,85;4,80;-9,89;30,17;2,90;-17,99;-0,19;;;
;4802636264,00;-567,24;4,80;-9,90;30,18;2,90;-18,00;-0,19;;;
;4803011101,00;-567,63;4,80;-9,91;30,18;2,90;-18,01;-0,19;;;
;4803385939,00;-568,03;4,80;-9,91;30,18;2,86;-18,03;-0,19;;;
;4803760776,00;-568,41;4,80;-9,92;30,18;2,97;-18,04;-0,19;;;
;4804135614,00;-568,81;4,80;-9,93;30,19;2,87;-18,05;-0,19;;;
;4804510451,00;-569,20;4,80;-9,93;30,19;2,87;-18,06;-0,19;;;
;4804885289,00;-569,59;4,80;-9,94;30,19;2,89;-18,07;-0,19;;;
;4805260126,00;-569,98;4,81;-9,95;30,19;2,94;-18,09;-0,19;;;
;4805634964,00;-570,37;4,81;-9,95;30,19;2,86;-18,10;-0,19;;;
;4806009801,00;-570,76;4,81;-9,96;30,20;3,06;-18,11;-0,18;;;
;4806384638,00;-571,17;4,81;-9,97;30,20;2,82;-18,13;-0,20;;;
;4806759476,00;-571,55;4,81;-9,98;30,20;2,91;-18,14;-0,19;;;
;4807134313,00;-571,95;4,81;-9,98;30,20;2,89;-18,15;-0,19;;;
;4807509151,00;-572,34;4,81;-9,99;30,21;2,95;-18,16;-0,19;;;
;4807883988,00;-572,73;4,81;-10,00;30,21;2,98;-18,17;-0,18;;;
;4808258826,00;-573,14;4,81;-10,00;30,21;2,91;-18,19;-0,19;;;
;4808633663,00;-573,53;4,81;-10,01;30,21;2,91;-18,20;-0,19;;;
;4809008501,00;-573,92;4,81;-10,02;30,22;2,99;-18,21;-0,18;;;
;4809383338,00;-574,32;4,81;-10,02;30,22;2,93;-18,23;-0,19;;;
;4809758176,00;-574,72;4,81;-10,03;30,22;2,91;-18,24;-0,19;;;
;4810133013,00;-575,11;4,81;-10,04;30,22;2,92;-18,25;-0,19;;;
;4810507851,00;-575,51;4,81;-10,04;30,23;2,99;-18,26;-0,18;;;
;4810882688,00;-575,91;4,81;-10,05;30,23;2,91;-18,28;-0,19;;;
;4811257526,00;-576,30;4,81;-10,06;30,23;2,95;-18,29;-0,19;;;
;4811632363,00;-576,70;4,81;-10,07;30,23;2,99;-18,30;-0,18;;;
;4812007201,00;-577,11;4,81;-10,07;30,23;2,93;-18,31;-0,19;;;
;4812382038,00;-577,50;4,81;-10,08;30,24;2,91;-18,33;-0,19;;;
;4812756876,00;-577,89;4,81;-10,09;30,24;2,99;-18,34;-0,18;;;
;4813131713,00;-578,30;4,81;-10,09;30,24;3,03;-18,35;-0,18;;;
;4813506551,00;-578,71;4,81;-10,10;30,24;2,90;-18,36;-0,19;;;
;4813881388,00;-579,10;4,81;-10,11;30,25;3,01;-18,38;-0,18;;;
;4814256226,00;-579,50;4,81;-10,11;30,25;2,89;-18,39;-0,19;;;
;4814631063,00;-579,89;4,81;-10,12;30,25;3,00;-18,40;-0,18;;;
;4815005901,00;-580,30;4,82;-10,13;30,25;2,96;-18,41;-0,19;;;
;4815380738,00;-580,70;4,82;-10,14;30,26;2,95;-18,43;-0,19;;;
;4815755576,00;-581,09;4,82;-10,14;30,26;3,03;-18,44;-0,18;;;
;4816130413,00;-581,50;4,82;-10,15;30,26;2,94;-18,45;-0,19;;;
;4816505251,00;-581,90;4,82;-10,16;30,26;2,99;-18,47;-0,18;;;
;4816880088,00;-582,30;4,82;-10,16;30,27;2,93;-18,48;-0,19;;;
;4817254925,00;-582,70;4,82;-10,17;30,27;2,94;-18,49;-0,19;;;
;4817629763,00;-583,10;4,82;-10,18;30,27;2,99;-18,50;-0,18;;;
;4818004600,00;-583,50;4,82;-10,18;30,27;2,94;-18,52;-0,19;;;
;4818379438,00;-583,90;4,82;-10,19;30,27;2,96;-18,53;-0,19;;;
;4818754275,00;-584,30;4,82;-10,20;30,28;3,00;-18,54;-0,18;;;
;4819129113,00;-584,70;4,82;-10,20;30,28;2,89;-18,55;-0,19;;;
;4819503950,00;-585,09;4,82;-10,21;30,28;2,98;-18,57;-0,18;;;
;4819878788,00;-585,49;4,82;-10,22;30,28;2,99;-18,58;-0,18;;;
;4820253625,00;-585,89;4,82;-10,23;30,29;2,97;-18,59;-0,19;;;
;4820628463,00;-586,30;4,82;-10,23;30,29;2,89;-18,61;-0,19;;;
;4821003300,00;-586,69;4,82;-10,24;30,29;2,90;-18,62;-0,19;;;
;4821378138,00;-587,08;4,82;-10,25;30,29;2,90;-18,63;-0,19;;;
;4821752975,00;-587,47;4,82;-10,25;30,30;2,98;-18,64;-0,18;;;
;4822127813,00;-587,87;4,82;-10,26;30,30;2,81;-18,66;-0,20;;;
